Date,Close,High,Low,Open,Volume,MA_7,MA_30,EMA_14,Lag_1,Lag_3
2015-02-13,1226.5,1232.800048828125,1222.199951171875,1222.199951171875,65,1233.4142892020088,1249.736661783854,1243.729817069592,1220.0999755859375,1231.5999755859375
2015-02-17,1208.0999755859375,1234.0,1203.0,1227.699951171875,204,1225.7142857142858,1250.4733276367188,1238.979171538438,1226.5,1219.0
2015-02-18,1199.699951171875,1210.199951171875,1197.800048828125,1207.0999755859375,147,1220.8285609654017,1250.3333251953125,1233.74194215623,1208.0999755859375,1220.0999755859375
2015-02-19,1207.0999755859375,1220.0,1205.0,1216.5,65,1216.0142647879463,1249.9266560872395,1230.1896799468575,1199.699951171875,1226.5
2015-02-20,1204.4000244140625,1213.0999755859375,1199.0999755859375,1206.5,51,1212.1285574776787,1249.719991048177,1226.7510592091514,1207.0999755859375,1208.0999755859375
2015-02-23,1200.300048828125,1203.300048828125,1191.5999755859375,1201.300048828125,268,1209.4571358816963,1249.4499918619792,1223.2242578250148,1204.4000244140625,1199.699951171875
2015-02-24,1196.9000244140625,1203.5,1193.800048828125,1203.4000244140625,151,1206.142857142857,1248.8133260091147,1219.714360036888,1200.300048828125,1207.0999755859375
2015-02-25,1201.0,1204.5999755859375,1201.0,1204.300048828125,570,1202.5,1247.756660970052,1217.2191120319694,1196.9000244140625,1204.4000244140625
2015-02-26,1209.5999755859375,1219.0,1204.800048828125,1204.800048828125,560,1202.7142857142858,1246.9333251953126,1216.2032271724984,1201.0,1200.300048828125
2015-02-27,1212.5999755859375,1217.800048828125,1204.5,1207.699951171875,195,1204.5571463448662,1246.2066569010417,1215.7227936276236,1209.5999755859375,1196.9000244140625
2015-03-02,1207.699951171875,1222.699951171875,1204.9000244140625,1214.300048828125,124,1204.642857142857,1244.3066569010416,1214.6530813001905,1212.5999755859375,1201.0
2015-03-03,1204.0,1212.0,1195.0,1201.5,51,1204.5857107979912,1241.8766560872396,1213.232670460165,1207.699951171875,1209.5999755859375
2015-03-04,1200.5999755859375,1206.9000244140625,1198.0,1204.800048828125,27,1204.6285574776787,1238.7566569010417,1211.5483111436015,1204.0,1212.5999755859375
2015-03-05,1195.9000244140625,1205.4000244140625,1195.9000244140625,1201.699951171875,29,1204.4857003348213,1235.4966593424479,1209.4618729129961,1200.5999755859375,1207.699951171875
2015-03-06,1164.0999755859375,1195.699951171875,1163.699951171875,1195.0,168,1199.2142682756696,1230.9433268229166,1203.413619936055,1195.9000244140625,1204.0
2015-03-09,1166.4000244140625,1174.199951171875,1166.300048828125,1169.4000244140625,45,1193.0428466796875,1226.736661783854,1198.4784738664562,1164.0999755859375,1200.5999755859375
2015-03-10,1160.0999755859375,1168.4000244140625,1156.5,1166.4000244140625,94,1185.5428466796875,1222.7599934895834,1193.361340762387,1166.4000244140625,1195.9000244140625
2015-03-11,1150.699951171875,1162.0,1147.699951171875,1162.0,74,1177.3999895368304,1218.0599934895833,1187.673155483652,1160.0999755859375,1164.0999755859375
2015-03-12,1152.0999755859375,1160.5,1149.699951171875,1155.4000244140625,63,1169.9857003348213,1213.599991861979,1182.9300648306235,1150.699951171875,1166.4000244140625
2015-03-13,1152.5999755859375,1159.199951171875,1152.5999755859375,1158.199951171875,44,1163.1285574776787,1210.1999918619792,1178.886052931332,1152.0999755859375,1160.0999755859375
2015-03-16,1153.300048828125,1162.300048828125,1150.0999755859375,1159.699951171875,56,1157.0428466796875,1206.02666015625,1175.474585717571,1152.5999755859375,1150.699951171875
2015-03-17,1148.300048828125,1158.199951171875,1144.300048828125,1153.5999755859375,71,1154.7857142857142,1201.763330078125,1171.8513141323117,1153.300048828125,1152.0999755859375
2015-03-18,1151.4000244140625,1174.300048828125,1147.0,1148.699951171875,112,1152.642857142857,1198.1533325195312,1169.124475503212,1148.300048828125,1152.5999755859375
2015-03-19,1169.0999755859375,1171.5999755859375,1159.300048828125,1171.5999755859375,39,1153.9285714285713,1194.9966634114583,1169.1212088475754,1151.4000244140625,1153.300048828125
2015-03-20,1184.800048828125,1185.4000244140625,1171.0,1171.0,54,1158.800013950893,1192.4233317057292,1171.211720844982,1169.0999755859375,1148.300048828125
2015-03-23,1188.0,1188.0,1181.199951171875,1181.5999755859375,5,1163.9285888671875,1190.893330891927,1173.450158065651,1184.800048828125,1151.4000244140625
2015-03-24,1191.699951171875,1193.0,1186.0,1188.0,411,1169.5142996651787,1189.256660970052,1175.8834638131477,1188.0,1169.0999755859375
2015-03-25,1197.300048828125,1199.199951171875,1192.5,1192.5,11,1175.800013950893,1188.113330078125,1178.7390084818114,1191.699951171875,1184.800048828125
2015-03-26,1205.0999755859375,1213.699951171875,1198.199951171875,1198.199951171875,68,1183.9142892020088,1187.6499959309897,1182.253804095695,1197.300048828125,1188.0
2015-03-27,1199.800048828125,1199.800048828125,1196.300048828125,1197.0,172260,1190.828578404018,1186.9733317057292,1184.5933033933522,1205.0999755859375,1191.699951171875
2015-03-30,1184.800048828125,1198.5,1181.5999755859375,1198.0,37990,1193.0714460100446,1185.5833333333333,1184.6208694513218,1199.800048828125,1197.300048828125
2015-03-31,1183.0999755859375,1190.0999755859375,1178.199951171875,1185.800048828125,3409,1192.828578404018,1184.75,1184.418083602604,1184.800048828125,1205.0999755859375
2015-04-01,1208.0999755859375,1208.199951171875,1181.0,1182.9000244140625,1632,1195.7000034877233,1185.0300008138022,1187.5756692003818,1183.0999755859375,1199.800048828125
2015-04-02,1200.9000244140625,1205.699951171875,1194.800048828125,1204.0,1684,1197.0142996651787,1184.8233357747397,1189.3522498955392,1208.0999755859375,1184.800048828125
2015-04-06,1218.5999755859375,1224.199951171875,1209.9000244140625,1209.9000244140625,343,1200.0571463448662,1185.2966674804688,1193.251946654259,1200.9000244140625,1183.0999755859375
2015-04-07,1210.5999755859375,1214.800048828125,1208.199951171875,1214.800048828125,406,1200.8428606305804,1185.639998372396,1195.5650171784828,1218.5999755859375,1208.0999755859375
2015-04-08,1203.0999755859375,1211.4000244140625,1197.5999755859375,1208.9000244140625,236,1201.3142787388392,1185.8466634114584,1196.5696782994767,1210.5999755859375,1200.9000244140625
2015-04-09,1193.5999755859375,1202.5,1193.0,1201.699951171875,521,1202.5714111328125,1185.5999959309895,1196.1737179376714,1203.0999755859375,1218.5999755859375
2015-04-10,1204.5999755859375,1209.5999755859375,1195.800048828125,1195.800048828125,202,1205.6428397042412,1185.433329264323,1197.2972189574402,1193.5999755859375,1210.5999755859375
2015-04-13,1199.300048828125,1208.0999755859375,1198.300048828125,1208.0999755859375,424,1204.385707310268,1184.9899983723958,1197.5642629401982,1204.5999755859375,1203.0999755859375
2015-04-14,1192.800048828125,1200.5999755859375,1184.0999755859375,1198.800048828125,546,1203.2285679408483,1184.4933349609375,1196.929034391922,1199.300048828125,1193.5999755859375
2015-04-15,1201.5,1203.0999755859375,1188.5999755859375,1194.5999755859375,196,1200.7857142857142,1184.410001627604,1197.5384964729992,1192.800048828125,1204.5999755859375
